"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 13:07:46 GMT 2022","Tue Jun 14 13:07:49 GMT 2022","2348","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_valid_user_registration",""
"passed","Tue Jun 14 13:08:05 GMT 2022","Tue Jun 14 13:08:08 GMT 2022","3086","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_posting_a_comment",""
"passed","Tue Jun 14 13:08:45 GMT 2022","Tue Jun 14 13:08:46 GMT 2022","1005","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_downloading_data_to_file",""
"passed","Tue Jun 14 13:07:58 GMT 2022","Tue Jun 14 13:08:04 GMT 2022","5845","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_browsing_the_pages",""
"broken","Tue Jun 14 13:08:10 GMT 2022","Tue Jun 14 13:08:11 GMT 2022","946","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Tue Jun 14 13:07:51 GMT 2022","Tue Jun 14 13:07:51 GMT 2022","740","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_login_as_registered_user",""
"broken","Tue Jun 14 13:08:13 GMT 2022","Tue Jun 14 13:08:26 GMT 2022","12889","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_modifying_existing_article",""
"passed","Tue Jun 14 13:07:53 GMT 2022","Tue Jun 14 13:07:56 GMT 2022","2780","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_listing_the_article",""
"passed","Tue Jun 14 13:07:44 GMT 2022","Tue Jun 14 13:07:45 GMT 2022","881","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_no_data_registration",""
"broken","Tue Jun 14 13:08:29 GMT 2022","Tue Jun 14 13:08:42 GMT 2022","12969","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_deleting_an_article",""
"passed","Tue Jun 14 13:08:47 GMT 2022","Tue Jun 14 13:08:50 GMT 2022","2343","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 13:07:32 GMT 2022","Tue Jun 14 13:07:42 GMT 2022","10063","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_accept_the_cookies",""
